feature,auc,mean_human,mean_ai,std_human,std_ai,cohen_d
emb_pca_32,0.5382317415229307,0.009251777543492894,-0.0009955841219791018,0.07579087566035543,0.07529550377315303,-0.1356483175294794
unique_word_ratio,0.5381347803888272,0.6161487592347178,0.6261732826583921,0.07857985072347687,0.20253645702252485,0.06525698635622378
type_token_ratio,0.5381347803888272,0.6161487592347178,0.6261732826583921,0.07857985072347687,0.20253645702252485,0.06525698635622378
emb_pca_49,0.5374826952607656,0.005665194960439042,-0.002698902240711759,0.06583256034130222,0.06763915841983363,-0.12531989846267125
emb_pca_48,0.5365829535221496,-0.0072896333591817505,0.001397448547457654,0.06586509988927114,0.06746443841452258,0.13030056349359168
emb_pca_27,0.5365430921380563,-0.007407463647511219,0.001674108115459754,0.07598101731354173,0.07909480886992791,0.1171006702974945
emb_pca_41,0.5358304109753571,0.007154395671941286,-0.0016136526058789418,0.07031316798233175,0.06932333768427106,-0.12558074199014874
emb_pca_31,0.5350520295763991,0.006597278584288892,-0.0023725458629094993,0.07308395491855721,0.07442567386595142,-0.12161176854442925
punct_colon_rate,0.5343073583441956,0.0018676666559704395,0.0037784407663716247,0.004726416747608699,0.028672282642488917,0.09299085788390674
simpson_diversity,0.534092738818863,0.9879706740585171,0.9818268214869849,0.022021290722693647,0.038506202257218534,-0.19587554553145733
emb_pca_0,0.533884064847068,-0.017805490236922215,0.0028868176192001797,0.24225366088288317,0.247149064006702,0.08455724369439473
yule_k,0.5336898808249317,116.02442048459044,177.8513362802086,109.1759307983106,343.68219221089083,0.24247076808390347
word_count,0.530753450458993,297.66716529543754,237.37236276372363,315.61998311044266,107.27356976548215,-0.25579481580054325
dale_chall,0.5301208286052472,10.46497664779167,10.789821978095924,2.1541038319663577,2.912167583155273,0.1268265237094304
emb_pca_17,0.5299794627867056,0.009448500267215408,0.00038367604508889107,0.08898099228965017,0.08933918233335071,-0.10166887682562704
emb_pca_2,0.5270339458200777,-0.008966158018742334,0.0003429704771868811,0.17383960020173495,0.1635733112874027,0.05515392036356833
punct_period_rate,0.5264173657428574,0.05188559791601229,0.05729786405258698,0.02984601912671457,0.5420672511843414,0.014098849411991705
emb_pca_26,0.5260051967877258,-0.005604176519158564,0.0011667291799134086,0.07763845708996434,0.07886166371154132,0.08652643661202743
emb_pca_12,0.5258320839568997,-0.008491388114870605,0.0021221345656633334,0.09820931538765605,0.10094146264376283,0.10657778129122804
emb_pca_22,0.5253772491112894,-0.006949080877325355,0.0013435089368223098,0.08295721430737935,0.08220571481641334,0.10041604395051465
emb_pca_11,0.5240754533372393,0.009161230826453627,-0.00042787902570672927,0.10198657099775102,0.1006567450109487,-0.09463823993699781
emb_pca_37,0.5238958901417263,0.006179383512554227,-0.00019787080512538775,0.07321798371935896,0.07139688769266517,-0.08818939121683578
emb_pca_21,0.5235693895083192,0.004702251080711788,-0.0021156353537134286,0.08512154916777237,0.08344115172115425,-0.08089034693119353
emb_pca_38,0.5235321643602282,-0.005223924882886311,0.0005257229988505548,0.06964125709052324,0.07214488198087561,0.08109046158466353
word_length_std,0.5234265653464572,2.6787996305910515,3.0206628204976504,0.6155235674549968,8.448795702968203,0.05707199352928488
emb_pca_35,0.5222168695621089,0.004534991432551609,-0.0011284180466431658,0.07275514113193497,0.07363048715139893,-0.07737519447356078
emb_pca_5,0.5217308299087817,0.00585670289717427,-0.00221163601800787,0.12504900382207337,0.12132365569368274,-0.06548954518022129
emb_pca_33,0.5209712013091885,0.004857044795822738,-0.0011956835392211778,0.07377815545685495,0.07540193238546106,-0.08114179180876399
emb_pca_28,0.5209272266490628,0.004604107682484068,-0.0007268027411004601,0.07528419221179455,0.07685493247379124,-0.07007568026431804
char_count,0.5205259391787074,1735.4379207180255,1418.3811618838117,1823.4680955149236,645.8972744734047,-0.23178610795211876
emb_pca_18,0.5203842929095273,-0.007214104813213911,2.9315307495840314e-05,0.08659676075384753,0.08828996651474683,0.08283167937997885
emb_pca_29,0.5196933934130895,0.003746021151652955,-0.0015472573650431956,0.0768717208115385,0.07665091833159558,-0.06895755663894676
emb_pca_40,0.5196661336110219,-0.0034178894001361255,0.0009862959726896308,0.07086232289770021,0.07159857701232723,0.06182926768278124
emb_pca_36,0.5173131153601169,-0.003901899979673148,0.0007870859774510249,0.07410330284425017,0.07211777134804984,0.06412965771811528
punct_comma_rate,0.5166110352315554,0.052262496690327315,0.054216262684982204,0.029788970494776544,0.047846752914408104,0.049022992336330284
avg_sentence_length,0.5145912858228014,24.14991978856756,28.670882405680853,27.939172880048158,40.457955322476316,0.13003724048392068
punct_question_rate,0.5140474733379317,0.0016672257200127303,0.001742343490555148,0.005587738426090473,0.008167600031980728,0.01073480704768182
emb_pca_30,0.5138370605721776,0.0021103105141024683,-0.0011731133620708763,0.07302055940190845,0.0757093655073597,-0.04414562097749791
emb_pca_25,0.5137289188059504,0.00221348938859611,-0.0018408577026299369,0.07788012807064788,0.07971055293986178,-0.05145067725822626
emb_pca_7,0.5134127200593328,0.004602073642709425,-0.0007994607119505046,0.1176602059026781,0.11693136490409006,-0.04605031857759556
emb_pca_20,0.5125315815464078,0.002391583985183246,-0.00015504291473623647,0.08664696412628005,0.0835284933727171,-0.029924402233720098
emb_pca_24,0.5123175229223524,0.004644500261089005,0.0006237469019573244,0.07664933120030575,0.08067136868417378,-0.05109867929808182
emb_pca_3,0.5105116264738523,-0.003960878922812267,0.0030259643833919804,0.15224384590271137,0.1461725057323967,0.04681645422350474
emb_pca_45,0.5104901439549389,0.002212085105312266,-0.0003005274311672133,0.06780569675082626,0.06841114546883403,-0.036890999330998465
emb_pca_14,0.5101335042262415,-0.0038250709291058342,0.0008471949450851915,0.09367739506295601,0.09570262486694794,0.0493399328491206
emb_pca_43,0.5097984591967131,-0.0022150437231729992,0.0004746356548942104,0.06902083158043759,0.06835810138628377,0.03915663083785455
short_sentence_ratio,0.5088646333571579,0.06490193323786497,0.08050547901751762,0.10206117379265958,0.13624780149069599,0.1296252201003507
gpt2_log_perplexity,0.5086079649327513,1.9379788157581352,1.9349677342601999,0.08698142608197171,0.08971072613601577,-0.034078733032207674
gpt2_perplexity,0.5086079649327513,5.970766180918657,5.951420973329684,0.5984383652027289,0.6141545652857116,-0.03190449568920777
emb_pca_34,0.5085699732195815,-0.0008611004759016456,0.0010650927680563942,0.0742106228702889,0.07232741490693081,0.026287156988740148
emb_pca_39,0.5078159162393409,-0.0009027653213979055,0.0006832071713231677,0.07174095347955335,0.07240783851307891,0.022004423326471772
emb_pca_46,0.5062052134352758,0.0002963738397109201,-0.0007508105617547245,0.06897300161600066,0.06808629701458674,-0.015280429682468104
emb_pca_1,0.506127547305105,0.00745469407486724,0.0017530165659129086,0.20029311545145095,0.1963079282477812,-0.028751259099626905
emb_pca_9,0.5058739451410132,-0.002595967629136126,0.0002967042118329767,0.10596135206765614,0.10365174879759936,0.02759843017499048
emb_pca_47,0.5057266898590619,-0.0005786658706342557,0.0007974061906718826,0.06647560669729645,0.06783499151624009,0.020489843742384262
emb_pca_13,0.5051418754908353,-0.00235330147417427,2.8525756145085668e-05,0.09384508753810594,0.09547523120451419,0.02516094369321679
punct_quote_rate,0.5026928683347073,0.007033670761710666,0.0075339274459658295,0.014185942059367707,0.021109057307510497,0.027817092138063593
emb_pca_44,0.5026352824702571,0.0017622599008702323,0.0011025663387422468,0.06689197651989309,0.06942232435023987,-0.009677340263455955
emb_pca_23,0.5025786875313965,0.0004760746934083769,-0.0007516815082745724,0.08152220242974331,0.08008986202306004,-0.015193271476300231
whitespace_ratio,0.502293170084637,0.17211787306509926,0.17280245065486438,0.021570391692910983,0.025238046772000273,0.02916079998323135
